season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2000,1,1,CLE,,BrowCo22,courtney-brown-1,Courtney Brown,False,DE,DL,D,Penn St.,22.0,2005.0,0,0,4,27.0,,21.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,,19.0
2000,1,6,PHI,,SimoCo00,corey-simon-1,Corey Simon,False,DT,DL,D,Florida St.,23.0,2007.0,0,1,6,45.0,,41.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,,32.0
2000,1,12,NYJ,,ElliSh00,,Shaun Ellis,False,DE,DL,D,Tennessee,23.0,2011.0,0,2,11,70.0,,68.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,1.0,73.5
2000,1,13,NYJ,,AbraJo00,,John Abraham,False,DE,DL,D,South Carolina,22.0,2014.0,2,5,11,91.0,,37.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,1.0,133.5
2000,1,25,MIN,,HovaCh20,,Chris Hovan,False,DT,DL,D,Boston Col.,22.0,2009.0,0,0,10,56.0,,23.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,,22.0
2000,1,26,BUF,,FlowEr20,erik-flowers-1,Erik Flowers,False,DE,DL,D,Arizona St.,22.0,2004.0,0,0,0,6.0,,4.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,5.0
2000,2,33,NOR,,HowaDa21,darren-howard-1,Darren Howard,False,DE,DL,D,Kansas St.,23.0,2009.0,0,0,6,42.0,,31.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,3.0,67.0
2000,2,35,SFO,,EngeJo20,john-engelberger-1,John Engelberger,False,DE,DL,D,Virginia Tech,23.0,2008.0,0,0,5,31.0,,23.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,,20.5
2000,2,42,NYG,,GrifCo20,,Cornelius Griffin,False,DT,DL,D,Alabama,23.0,2009.0,0,0,9,58.0,,20.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,2.0,29.0
2000,2,55,MIN,,RobbFr20,,Fred Robbins,False,DT,DL,D,Wake Forest,23.0,2011.0,0,0,10,51.0,,9.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,3.0,35.5
2000,2,56,MIN,,,,Michael Boireau,False,DE,DL,D,Miami (FL),,,0,0,0,,,,,,,,,,,,,,,,,,
2000,3,71,ARI,,WalkDa21,,Darwin Walker,False,DT,DL,D,Tennessee,23.0,2008.0,0,0,5,38.0,,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,1.0,28.5
