pick,season,round,Team Abbr,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,Logo Path
1,8037,4,CLEHOUHOUCLE,00-003136400-0033868,BrowCo22WillMa22ClowJa00GarrMy00,courtney-brown-1mario-williams-1jadeveon-clowney-1myles-garrett-1,Courtney BrownMario WilliamsJadeveon ClowneyMyles Garrett,0,DEDEDEDE,DLDLDLDL,DDDD,Penn St.North Carolina St.South CarolinaTexas A&M,85.0,8067.0,4,12,27,244.0,0.0,174.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931.0,1.0,257.5,logos/CLE.tiflogos/HOU.tiflogos/HOU.tiflogos/CLE.tif
2,8039,4,CARSTLDETSF,00-002114000-002614200-002785500-0035717,PeppJu99LongCh99SuhxNd99BosaNi00,julius-peppers-1chris-long-1ndamukong-suh-1nick-bosa-1,Julius PeppersChris LongNdamukong SuhNick Bosa,0,DEDEDTDE,DLDLDLDL,DDDD,North CarolinaVirginiaNebraskaOhio St.,89.0,8081.0,7,18,37,328.0,0.0,224.0,695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.0,13.0,354.5,logos/CAR.tiflogos/STL.tiflogos/DET.tiflogos/SF.tif
3,12066,6,CLEKCTBBUFSDNYJ,00-002785600-002794100-003315600-0035718,WarrGe20JackTy98McCoGe99DareMa00BosaJo00WillQu00,tyson-jackson-1gerald-mccoy-1marcell-dareus-1joey-bosa-1quinnen-williams-1,Gerard WarrenTyson JacksonGerald McCoyMarcell DareusJoey BosaQuinnen Williams,0,DTDEDTDTDEDT,DLDLDLDLDLDL,DDDDDD,FloridaLSUOklahomaAlabamaOhio St.Alabama,131.0,12113.0,3,14,43,302.0,0.0,254.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302.0,1.0,242.5,logos/CLE.tiflogos/KC.tiflogos/TB.tiflogos/BUF.tiflogos/SD.tiflogos/NYJ.tif
4,4004,2,CINNYJ,0,SmitJu20RobeDe20,0,Justin SmithDewayne Robertson,0,DEDT,DLDL,DD,MissouriKentucky,42.0,4022.0,1,5,20,135.0,0.0,58.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,3.0,103.0,logos/CIN.tiflogos/NYJ.tif
5,4021,2,KCDET,00-0030059,DorsGl99AnsaEz00,glenn-dorsey-1ezekiel-ansah-1,Glenn DorseyEzekiel Ansah,0,DTDE,DLDL,DD,LSUBYU,47.0,4036.0,0,1,12,76.0,0.0,63.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,0.0,57.5,logos/KC.tiflogos/DET.tif
6,8018,4,PHINEKCNYJ,00-0031933,SimoCo00SeymRi00SimsRy20WillLe02,corey-simon-1leonard-williams-1,Corey SimonRichard SeymourRyan SimsLeonard Williams,1,DTDEDTDE,DLDLDLDL,DDDD,Florida St.GeorgiaNorth CarolinaUSC,87.0,8052.0,3,9,27,214.0,0.0,158.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,4.0,141.5,logos/PHI.tiflogos/NE.tiflogos/KC.tiflogos/NYJ.tif
7,10056,5,SFNOSFSFCAR,00-002794500-003237800-0036220,CartAn20ElliSe99SmitAl04BuckDe00BrowDe05,andre-carter-1sedrick-ellis-1aldon-smith-1deforest-buckner-1derrick-brown-6,Andre CarterSedrick EllisAldon SmithDeForest BucknerDerrick Brown,0,DEDTDEDEDT,DLDLDLDLDL,DDDDD,CaliforniaUSCMissouriOregonAuburn,110.0,10091.0,2,6,29,217.0,0.0,134.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1126.0,3.0,214.5,logos/SF.tiflogos/NO.tiflogos/SF.tiflogos/SF.tiflogos/CAR.tif
8,2007,1,ATL,0,AndeJa98,jamaal-anderson-1,Jamaal Anderson,0,DE,DL,D,Arkansas,21.0,2012.0,0,0,3,20.0,0.0,19.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,7.5,logos/ATL.tif
9,8033,4,JAXMINGBBUF,00-0035230,HendJo99WillKe98RajiBJ99OlivEd00,john-henderson-1bj-raji-1ed-oliver-2,John HendersonKevin WilliamsB.J. RajiEd Oliver,0,DTDTDTDT,DLDLDLDL,DDDD,TennesseeOklahoma St.Boston Col.Houston,90.0,8064.0,5,9,28,236.0,0.0,230.0,518.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,985.0,6.0,127.0,logos/JAX.tiflogos/MIN.tiflogos/GB.tiflogos/BUF.tif
10,4017,2,HOUJAX,00-0027862,OkoyAm99AluaTy99,amobi-okoye-1tyson-alualu-1,Amobi OkoyeTyson Alualu,0,DTDT,DLDL,DD,LouisvilleCalifornia,43.0,4035.0,0,0,11,69.0,0.0,54.0,280.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,19.0,0.0,380.0,0.0,41.0,logos/HOU.tiflogos/JAX.tif
